GEOID,NAME,traffic_stops
0800190399,"Brighton CCD, Adams County, Colorado",1
0800190760,"Commerce City CCD, Adams County, Colorado",25
0800191159,"East Adams CCD, Adams County, Colorado",1
0800192622,"North Aurora CCD, Adams County, Colorado",22462
0800591178,"East Arapahoe CCD, Arapahoe County, Colorado",9088
0800593382,"South Aurora CCD, Arapahoe County, Colorado",108039
0800593458,"Southwest Arapahoe CCD, Arapahoe County, Colorado",264
0801390342,"Boulder CCD, Boulder County, Colorado",1
0803191007,"Denver CCD, Denver County, Colorado",1244
0803592850,"Parker CCD, Douglas County, Colorado",383
